案件文件名称,判决文书中的原始条款,原始引用内容,新法条款,新法条款内容
"case1.pdf","《中华人民共和国民法总则》第一百四十六条（第一款）","行为人与相对人以虚假的意思表示实施的民事法律行为无效。","《民法典》第一百四十六条","行为人与相对人以虚假的意思表示实施的民事法律行为无效。以虚假的意思表示隐藏的民事法律行为的效力，依照有关法律规定处理。"
"case1.pdf","《中华人民共和国合同法》第五十六条","无效的合同或者被撤销的合同自始没有法律约束力。","《民法典》第一百五十五条","无效的或者被撤销的民事法律行为自始没有法律约束力。"
"case1.pdf","《中华人民共和国合同法》第五十六条","合同部分无效，不影响其他部分效力的，其他部分仍然有效。","《民法典》第一百五十六条、第一百五十七条","第一百五十六条 民事法律行为部分无效，不影响其他部分效力的，其他部分仍然有效。第一百五十七条 民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。法律另有规定的，依照其规定。"
"case1.pdf","《中华人民共和国物权法》第二十条（第二款）","预告登记后，债权消灭或者自能够进行不动产登记之日起三个月内未申请登记的，预告登记失效。","《民法典》第二百二十一条（第二款）","预告登记后，债权消灭或者自能够进行不动产登记之日起九十日内未申请登记的，预告登记失效。"
"case2.pdf","《中华人民共和国继承法》第五条","继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。","《民法典》第一千一百二十三条","继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。"
"case2.pdf","《中华人民共和国继承法》第十条","遗产按照下列顺序继承：第一顺序：配偶、子女、父母。第二顺序：兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺位继承人继承，第二顺序继承人不继承。没有第一顺序继承人继承的，由第二顺序继承人继承。","《民法典》第一千一百二十七条","遗产按照下列顺序继承：（一）第一顺序：配偶、子女、父母；（二）第二顺序：兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。"
"case2.pdf","《中华人民共和国物权法》第二十九条","因继承或者受遗赠取得物权的，自继承或者受遗赠开始时发生效力。","《民法典》第二百三十条","因继承取得物权的，自继承开始时发生效力。"
"case3.pdf","《中华人民共和国合同法》第一百零六条","债权和债务同归于一人的，合同的权利义务终止，但涉及第三人利益的除外。","《民法典》第五百五十七条（第五项）、第五百七十六条","第五百五十七条 有下列情形之一的，债权债务终止：（一）债务已经履行；（二）债务相互抵销；（三）债务人依法将标的物提存；（四）债权人免除债务；（五）债权债务同归于一人；（六）法律规定或者当事人约定终止的其他情形。第五百七十六条 债权和债务同归于一人的，债权债务终止，但是损害第三人利益的除外。"
"case4.pdf","《中华人民共和国民法总则》第一百一十三条","民事主体的财产权利受法律平等保护。","《民法典》第一百一十三条","民事主体的财产权利受法律平等保护。"
"case4.pdf","《中华人民共和国民法总则》第一百一十七条","为了公共利益的需要，依照法律规定的权限和程序征收、征用不动产或者动产的，应当给予公平、合理的补偿。","《民法典》第一百一十七条","为了公共利益的需要，依照法律规定的权限和程序征收、征用不动产或者动产的，应当给予公平、合理的补偿。"
